workerCounter,assignmentId,workerId,hitId,trial type,set,global index,reaction time,response1,response2,responseLoc1,responseLoc2,stimulus1,stimulus2,stimulus3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,25,2130,6,1,0,2,6,4,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,26,2307,1,2,0,2,1,3,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,27,2567,2,5,2,0,5,3,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,28,3393,5,2,1,2,4,5,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,29,2830,2,1,1,2,4,2,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,30,3531,1,6,0,2,1,5,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,31,3709,5,6,1,2,2,5,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,32,3470,5,1,2,0,1,3,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,33,2791,6,1,2,1,3,1,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,34,3951,6,4,1,0,4,6,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,35,4383,6,7,0,2,6,3,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,36,5057,1,7,2,1,2,7,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,37,1687,4,7,1,0,7,4,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,38,1466,3,7,0,1,3,7,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,39,1744,1,6,2,1,7,6,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,40,1729,3,4,1,2,1,3,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,41,1306,3,4,0,1,3,4,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,42,1727,2,6,2,0,6,4,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,43,2113,3,4,0,2,3,2,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,44,1576,7,2,2,1,5,2,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,45,1627,6,2,0,2,6,7,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,46,1398,5,1,2,1,7,1,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,47,1936,6,5,2,0,5,4,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,3,999,48,3296,195,195,true,true,195,195,170
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,49,3414,5,1,2,1,4,1,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,50,1982,3,7,0,1,3,7,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,51,1918,6,2,0,1,6,2,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,52,1925,5,6,2,1,7,6,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,53,2859,2,1,2,1,6,1,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,98,5753,6,1,0,2,6,4,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,99,2808,6,5,1,2,7,6,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,100,2043,6,4,1,0,4,6,7
